house_uuid;type
46062470-2e69-4068-ab8c-8ed265576a29;2
837ff3e3-6b90-459b-926d-230dcf8a7169;1
dba01996-31e5-4885-8331-bbc5196df737;2
14878853-16a1-49fd-8f79-72c2720ed801;1
c3c36069-2a1b-49b5-aa6c-31e6302ed78d;2
ec6515b2-fa9c-4903-a2a3-68a1c11cc1dd;1
0c219929-7cd8-4e70-9cea-b6057f7794de;1
c0b026b7-ebe6-4914-95db-797b14cafa31;1
3f906dee-b57a-4bf7-93ac-eddcedf8bc50;1
5e329f72-4fc1-4cb3-bb24-ff5d7e706f74;1
3ff42752-7c83-40ab-a286-f84ab68454ed;1
8e6c187d-6c2a-4b74-bcce-4beba2a8d5c9;1
492b6e3a-1eec-432c-8d4d-d098098616e8;1
e85bcb14-c464-43ac-ae45-c9e0a2e3c5bf;1
785f1a8f-82b9-48cf-82fc-de88101e1900;1
2919d374-5218-4269-b8ef-76427efa66db;1
e160e0f2-b63b-4f26-b80a-0f46ba890fa8;1
32554510-3c62-416e-a68a-70cb7fc614f5;2
e9db981b-0d69-4bda-b2c7-cbfedd74d775;1
a02821d9-8a58-49c9-b4be-e01fdd62cb7e;1
650607cd-5be4-4854-8e8f-4a0a46092ade;1
33fe81d6-d92f-44b4-ba1d-df0ca6106227;1
177501da-57aa-44a7-95f7-58c028da47ab;1
e0a88315-8fcf-4688-9158-bd45b0887df8;1
800377c3-80c7-4442-84b5-a6722a4f38da;1
00588c27-989b-4d05-bf28-872c37831c9f;2
a35478d2-ecb7-4aa2-92d3-9d7eec25d5d5;2
ef9e9817-c882-4336-9624-a8d3062867d8;1
bda4e1fd-9a51-45cf-970e-fcb8c2c5c24a;1
fed4ac08-d482-4a24-9266-6032f104c13b;1
83a187ce-a045-4883-9617-a3dfedb91551;1
93f9ca4a-358c-49d0-878b-6a048c3be7f5;1
550a114c-7d71-45be-9ace-21fdee3b071a;2
4daca80b-5962-4493-b41c-7e0438a505fc;1
d362a15a-f2fb-486d-a838-dfd547e2f016;1
21b38f68-7d04-4eb5-b12a-a449fcd341b6;1
80c23550-a0ea-443c-9446-5116fdef6a4d;2
606b676b-2ba5-4505-ad50-ff01fead665d;1
00bc8dab-1998-4c24-bca5-fabff4f2d80d;1
35417355-12ac-4ff7-9719-0c2907668e0f;1
e64f7eb1-b1fb-4a92-8854-933e3c984647;1
49ac23e3-aa46-4ede-a1b3-28872a9418e9;1
adfa77bd-202c-4be0-96ef-3b3427ad3eb7;1
398901d9-3127-40ac-bc59-256b247171b5;1
000119ad-559e-4e9e-8bf1-068653a7bba7;1
b885de0f-09df-441f-85a6-bb28b468cea2;2
43f061dc-198a-42ec-90a2-904b6180ac4d;2
0f42cfc4-5d44-4b7b-9868-26d878fd34c2;1
82ab0c44-d43d-4a90-958e-1eabe5749bff;1
827b94e9-9d31-4d9e-86ca-b196b0a89834;2
963c2bb8-31e2-499c-9dfd-506e057fac4f;1
dc38c133-6560-46e6-8fe1-524e43a03e14;1
0481380b-9855-406b-ab28-7a9fc7b2fbd2;1
fcbdc6c9-8c50-4a9d-9f2a-3da4f0d8432b;2
e0b34086-4800-4926-bfc4-ded80e63f6c6;1
920b7347-b039-4e46-b610-175f25a4595b;1
d83f76f3-8c18-426c-9212-c7c1ba515459;2
23748e3e-863c-4438-bc5d-212555f90d74;1
4de34101-029c-45b2-a3ca-336db91b62d1;2
7cd26352-45ef-4db6-a0f5-d2dde9f5026d;1
dac7b38c-00f6-483e-8a91-792a1711987e;1
6e53de6d-1b47-41da-a483-3660d8e5a576;1
db1c76ed-dc9d-42a9-8ec5-c67993f86929;1
6eccaadb-90e9-41b7-abd4-cd8e4e2da9cd;1
984622dc-e888-4782-b110-50c6d1d7167d;1
f2e214c0-e6a0-4a2a-bef6-c4e1040633e3;1
44cb865f-e38f-4e1c-91fe-3dc8c4a78f78;1
0d8f3a15-193c-4730-b8e4-4b59bfc80630;1
b364cb79-d3a5-4339-92d4-e8201f7fd098;1
e43c4e22-8595-4a0e-a973-f3b089c8b059;1
f2743130-a681-4dbf-a367-d6376acf0907;1
9ac2949f-062d-4482-9cac-027e8f57924d;1
2169aa71-739a-446f-84a9-499deda48388;2
d522ef02-f300-49cb-a488-62b9605e0348;1
a25d9bc3-b8e5-4218-af56-b84018609112;1
11c22053-eafc-4b6d-af90-7be632382aed;1
2b585d90-1e02-4ee5-8c33-1f9bc4d23546;2
14e3b740-ccf2-419c-a99d-4ab01fb547e1;1
f1eacb23-13a6-42c6-b3ed-86458b0bfa60;1
066ed602-64bc-4fbe-8ae2-09a2b0d13d20;1
d554a940-8941-4e91-94fd-3f1d2feb5599;1
86cff400-3f88-463a-b322-a0d1fabd971e;1
e87f2892-cb84-4acf-8b00-fb4ad206f407;1
295c58bc-0500-475e-9d10-80f4bad45439;2
a390a5a1-2ee4-46ab-b842-7797aa47ca0b;1
9bb1ab9d-8732-45af-97fc-db99fdee1dbb;1
696a25fa-6019-4133-9133-c592ffc429be;1
7cc13eeb-790d-4b89-952f-ad168e2a2884;1
d88f1494-5326-4214-a443-892851c2a2d9;1
94187a36-8c14-4d70-9e91-d14f24ecbb77;2
fc5caf8f-7aa0-41ef-b9d4-3899bab08404;1
6bb92a2a-c2de-4976-a654-8397f9192617;1
c700679d-c826-448c-9bd0-9685c7784432;1
1002df63-04de-45a3-90f4-c1a18d058ec1;1
0c5fd7e5-c936-49bf-99c8-2db4e4ec9794;1
00c0fedc-8e57-4428-9fbe-fe68a010be89;1
444bbfb4-2ac2-4aed-9656-a76372436cbd;1
af5783b5-bc52-472b-8c66-7967177bad57;1
bb2872c8-f976-4ca8-af9a-eb3d3b4c029e;2
6668e2e8-f269-4f65-ab40-e5072b7f1a54;1
ac845abb-39e4-4b59-b1ca-d01a6b883b6a;2
82589b98-eaea-49f4-86b5-4fe4f3b9e35e;1
923d5258-92e3-4e06-a532-66e1c4e871cc;2
ed71169a-658d-4d59-a844-572f19e75eb9;1
b396ef96-9298-475c-86f3-6d6c01054413;2
0fcd97c2-272a-4d7c-82e7-40974e419e42;2
2c99f915-4588-4ff9-b4c6-cd7c2e671109;1
fd664f2f-3bf0-4ac1-955b-c238f8e86895;1
7838dd2a-7a9c-464c-9841-1edefedf7748;2
695ef62d-adee-4051-855b-3087d39e7d31;2
6a2ec711-d12c-4e57-87e1-cbcbf8c55eed;2
025db81e-37e3-4da6-8de8-70755f97d609;1
ed03c67b-a809-4237-aedc-91e7554e4f5c;1
f5cb901c-1a34-4570-bf88-daff01a954e2;1
8e5d246c-ab44-4292-bee0-17189341c194;1
17068474-0f7d-4ec0-bff4-915b5f687b93;2
eb051c9b-c501-40f1-90ef-bbd9cb33b466;1
cc692d5e-7fc8-4393-ba21-7f96b2ac3af4;1
c4d88606-de58-4c3d-8182-a9af41fce3a8;1
ac5b8601-acfd-4e91-a029-936dfa9820b3;1
28ebe1be-4a84-4731-a44c-748d287cf44c;1
12b0b2fb-fcc9-4384-9a1a-71db6ad2fa83;1
3b593f82-37cd-4a69-967b-3df9b0f06d66;2
602c40df-cb24-4516-b3be-2bc13b3a0c5c;1
4cc7ff51-c1b1-45ac-be86-5f966d9a94ac;2
b0d99ca8-e95d-46d0-bfff-8d8a15c23e55;2
5383bbde-dcfd-438f-9d29-32df6a623c24;1
c35d51b7-3017-4c20-a8c4-cbe8434bb9ea;1
